PSR name	MJD	err	Δν/ν(10-9)	Error(10-9)	Catalogue
B1900+06	54239	1	0.26	0.03	JBO
B1900+06	55436	6	0.19	0.03	JBO
B1907-03	48252	5	0.5	0.1	JBO
B1907-03	49228.2	0.1	2.5	0.1	JBO
B1907-03	53231.14	0.01	2.7	0.1	JBO
B1907+00	49530	1	0.4	0.1	JBO
B1907+00	51224	9	0.2	0.1	JBO
B1907+00	53546	2	0.5	0.1	JBO
B1907+03	52321	10	1.3	0.3	JBO
J1907+0602	55422	X	4660	0	JBO
J1907+0602	55866	X	1.49	0.32	JBO
J1907+0631	56987	8	2106	2	JBO
J1907+0631	57901	54	4986	5	JBO
J1909+0749	57491	9	2904.2	0.9	JBO
B1907+10	52700	16	0.3	0.1	JBO
J1909+0912	54977	4	4.4	0.3	JBO
J1909+0912	57552	60	7389.8	0.3	JBO
J1913+0446	53500	1	6.5	0.2	JBO
J1913+0446	55367	1	2.5	0.2	JBO
J1913+0446	56553	4	0.8	0.2	JBO
J1913+0832	54653.908	0.001	38	1	JBO
J1913+0904	56132.8	0.2	3.2	0.2	JBO
J1913+1000	56600	10	491	1	JBO
B1913+10	54154	1	2.7	0.1	JBO
J1913+1011	54431	2	0.2	0.2	JBO
B1913+16	52770	20	0.037	0.001	JBO
B1917+00	50176.6	0.2	1.9	0.2	JBO
J1921+0812	55367	33	3632.9	0.1	JBO
B1923+04	51495	1	0.08	0.02	JBO
